Region,Country,Item Type,Sales Channel,Order Priority,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Central America and the Caribbean,Antigua and Barbuda,Baby Food,Online,M,957081544,552,255.28,159.42,140914.56,87999.84,52914.72
Central America and the Caribbean,Panama,Snacks,Offline,C,301644504,2167,152.58,97.44,330640.86,211152.48,119488.38
Europe,Czech Republic,Beverages,Offline,C,478051030,4778,47.45,31.79,226716.1,151892.62,74823.48
Asia,North Korea,Cereal,Offline,L,892599952,9016,205.7,117.11,1854591.2,1055863.76,798727.44
Asia,Sri Lanka,Snacks,Offline,C,571902596,7542,152.58,97.44,1150758.36,734892.48,415865.88
Middle East and North Africa,Morocco,Personal Care,Offline,L,412882792,48,81.73,56.67,3923.04,2720.16,1202.88
Australia and Oceania,Federated States of Micronesia,Clothes,Offline,H,932776868,8258,109.28,35.84,902434.24,295966.72,606467.52
Europe,Bosnia and Herzegovina,Clothes,Online,M,919133651,927,109.28,35.84,101302.56,33223.68,68078.88
Middle East and North Africa,Afghanistan,Clothes,Offline,M,579814469,8841,109.28,35.84,966144.48,316861.44,649283.04
Sub-Saharan Africa,Ethiopia,Baby Food,Online,M,192993152,9817,255.28,159.42,2506083.76,1565026.14,941057.62
Middle East and North Africa,Turkey,Office Supplies,Offline,C,557156026,3704,651.21,524.96,2412081.84,1944451.84,467630
Middle East and North Africa,Oman,Cosmetics,Online,M,741101920,7382,437.2,263.33,3227410.4,1943902.06,1283508.34
Asia,Malaysia,Cereal,Offline,L,333942162,9762,205.7,117.11,2008043.4,1143227.82,864815.58
Central America and the Caribbean,Saint Lucia,Cosmetics,Offline,H,795100581,6786,437.2,263.33,2966839.2,1786957.38,1179881.82
Central America and the Caribbean,Saint Vincent and the Grenadines,Baby Food,Online,L,504313504,6428,255.28,159.42,1640939.84,1024751.76,616188.08
Middle East and North Africa,Lebanon,Meat,Offline,H,611629760,3693,421.89,364.69,1558039.77,1346800.17,211239.6
Europe,Austria,Cereal,Offline,C,987410676,5616,205.7,117.11,1155211.2,657689.76,497521.44
Europe,Bulgaria,Office Supplies,Online,L,672330081,6266,651.21,524.96,4080481.86,3289399.36,791082.5
North America,Mexico,Beverages,Online,C,127374303,1742,47.45,31.79,82657.9,55378.18,27279.72
Central America and the Caribbean,Trinidad and Tobago,Baby Food,Offline,C,783842170,5172,255.28,159.42,1320308.16,824520.24,495787.92
Middle East and North Africa,Libya,Beverages,Offline,L,993345010,1718,47.45,31.79,81519.1,54615.22,26903.88
Middle East and North Africa,Algeria,Baby Food,Offline,M,977806651,3572,255.28,159.42,911860.16,569448.24,342411.92
Europe,Estonia,Fruits,Online,L,579463422,4958,9.33,6.92,46258.14,34309.36,11948.78
Australia and Oceania,Tuvalu,Beverages,Offline,L,610864150,7132,47.45,31.79,338413.4,226726.28,111687.12
Middle East and North Africa,Saudi Arabia,Snacks,Offline,L,604870164,3378,152.58,97.44,515415.24,329152.32,186262.92
Central America and the Caribbean,Cuba,Cereal,Online,H,164655292,4015,205.7,117.11,825885.5,470196.65,355688.85
Europe,Montenegro,Fruits,Offline,L,313705861,1390,9.33,6.92,12968.7,9618.8,3349.9
Central America and the Caribbean,Guatemala,Office Supplies,Online,M,345820701,4885,651.21,524.96,3181160.85,2564429.6,616731.25
Sub-Saharan Africa,Guinea,Baby Food,Online,M,975111138,5910,255.28,159.42,1508704.8,942172.2,566532.6
Australia and Oceania,Vanuatu,Snacks,Online,C,286001002,2907,152.58,97.44,443550.06,283258.08,160291.98
Middle East and North Africa,United Arab Emirates,Cosmetics,Offline,H,483226621,6350,437.2,263.33,2776220,1672145.5,1104074.5
Australia and Oceania,Australia,Clothes,Offline,M,241836822,3744,109.28,35.84,409144.32,134184.96,274959.36
Middle East and North Africa,Oman,Clothes,Online,H,557192933,4626,109.28,35.84,505529.28,165795.84,339733.44
Sub-Saharan Africa,Malawi,Meat,Online,L,694968783,5562,421.89,364.69,2346552.18,2028405.78,318146.4
Middle East and North Africa,Lebanon,Fruits,Online,H,441150701,5150,9.33,6.92,48049.5,35638,12411.5
Europe,Czech Republic,Cereal,Online,M,552037513,9022,205.7,117.11,1855825.4,1056566.42,799258.98
Australia and Oceania,Vanuatu,Cosmetics,Offline,C,504240548,4838,437.2,263.33,2115173.6,1273990.54,841183.06
Europe,Luxembourg,Vegetables,Offline,L,744683635,7291,154.06,90.93,1123251.46,662970.63,460280.83
Sub-Saharan Africa,Benin,Personal Care,Online,L,440603101,3104,81.73,56.67,253689.92,175903.68,77786.24
Middle East and North Africa,Somalia,Clothes,Offline,L,629547774,6031,109.28,35.84,659067.68,216151.04,442916.64
Europe,Switzerland,Meat,Online,L,169378983,1860,421.89,364.69,784715.4,678323.4,106392
Middle East and North Africa,Saudi Arabia,Personal Care,Offline,L,688270556,3407,81.73,56.67,278454.11,193074.69,85379.42
Asia,Laos,Meat,Online,L,734708821,5522,421.89,364.69,2329676.58,2013818.18,315858.4
Asia,Kyrgyzstan,Snacks,Online,C,727492606,84,152.58,97.44,12816.72,8184.96,4631.76
Middle East and North Africa,Algeria,Baby Food,Offline,M,705733239,1003,255.28,159.42,256045.84,159898.26,96147.58
Sub-Saharan Africa,Angola,Office Supplies,Offline,C,778854548,9224,651.21,524.96,6006761.04,4842231.04,1164530
Sub-Saharan Africa,Mauritania,Cosmetics,Offline,M,676592862,7718,437.2,263.33,3374309.6,2032380.94,1341928.66
Middle East and North Africa,Lebanon,Household,Offline,M,198997008,6492,668.27,502.54,4338408.84,3262489.68,1075919.16
Europe,Finland,Beverages,Online,H,566428315,7581,47.45,31.79,359718.45,240999.99,118718.46
Asia,Taiwan,Baby Food,Online,M,369560611,52,255.28,159.42,13274.56,8289.84,4984.72
Europe,Belgium,Snacks,Online,M,519380223,5005,152.58,97.44,763662.9,487687.2,275975.7
Asia,Laos,Office Supplies,Online,H,197185981,568,651.21,524.96,369887.28,298177.28,71710
Europe,San Marino,Office Supplies,Online,H,904589211,6905,651.21,524.96,4496605.05,3624848.8,871756.25
Australia and Oceania,Tuvalu,Household,Offline,H,613513743,1205,668.27,502.54,805265.35,605560.7,199704.65
Australia and Oceania,Kiribati,Clothes,Offline,M,516195905,2694,109.28,35.84,294400.32,96552.96,197847.36
Asia,Kyrgyzstan,Vegetables,Offline,H,975184524,7626,154.06,90.93,1174861.56,693432.18,481429.38
Australia and Oceania,Samoa,Clothes,Online,M,173340928,4287,109.28,35.84,468483.36,153646.08,314837.28
Sub-Saharan Africa,Central African Republic,Personal Care,Offline,H,863838946,7995,81.73,56.67,653431.35,453076.65,200354.7
Asia,Uzbekistan,Cereal,Offline,L,920164906,6099,205.7,117.11,1254564.3,714253.89,540310.41
Central America and the Caribbean,Dominica,Meat,Online,M,986117637,2977,421.89,364.69,1255966.53,1085682.13,170284.4
Middle East and North Africa,Qatar,Cereal,Online,L,425808465,5042,205.7,117.11,1037139.4,590468.62,446670.78
Central America and the Caribbean,Saint Lucia,Beverages,Online,L,473661220,5736,47.45,31.79,272173.2,182347.44,89825.76
Europe,Bosnia and Herzegovina,Baby Food,Online,C,184412229,531,255.28,159.42,135553.68,84652.02,50901.66
Asia,South Korea,Vegetables,Offline,H,483110320,1934,154.06,90.93,297952.04,175858.62,122093.42
Central America and the Caribbean,Trinidad and Tobago,Household,Online,H,115116822,4481,668.27,502.54,2994517.87,2251881.74,742636.13
Middle East and North Africa,Somalia,Baby Food,Online,M,596105563,9738,255.28,159.42,2485916.64,1552431.96,933484.68
Sub-Saharan Africa,Nigeria,Snacks,Online,C,362062871,1304,152.58,97.44,198964.32,127061.76,71902.56
